,Advertisement ID,path,new_path,Segment_num,text
10728,4119611,/kaggle/input/hack-chunk-12-stranger/12/4119611.avi,audio_files/4119611.mp3,0," Цема иносмосковский прованцааль 67% 700 мл, 89,99 в универсамах верный."
913,4024938,/kaggle/input/hack-chunk-10-stranger/10/4024938.avi,audio_files/4024938.mp3,0, Успей купить до воскресенья! В метро макароны со скидкой 40% Спагетти Гранору производство Италии 500 граммов всего за 79 рублей 20 копеек Карта гости каждому
13500,4297908,/kaggle/input/hack-chunk-16/16/4297908.avi,audio_files/4297908.mp3,0," Чё, чё? Ничего себе цена! В дексе! Форель Курман за 299,90!"
1593,4227173,/kaggle/input/hack-chunk-14/14/4227173.avi,audio_files/4227173.mp3,0," Товар дня! Только с 22 по 25 ноября. Сыр ламбер по супер цене за 179,90. Дикси просто рядом по-сосебски."
9846,4298607,/kaggle/input/hack-chunk-16/16/4298607.avi,audio_files/4298607.mp3,0," Число здесь, кругом, регулярные поставки. Все, что нужно, есть прямо тут. В метро 40 тысяч товаров в ассортименте. И свежие продукты всегда на полках. В метро скидка до 30% на колбасу в нарезке. Например, колбаса сорокопченая с речечен черкизовские нарезки. 99 рублей 90 копеек за 100 граммов. Метро."
16470,2333170,/kaggle/input/hack-chunk-6/6/2333170.wav,/kaggle/input/hack-chunk-6/6/2333170.wav,0," Окей, обновляем скидки. Грибы шимпиньоны 500 граммов 99 рублей 99 копеек. Скидка 50 процентов со второго по 8 июня. Подробности ноутмарки тру."
12887,4218370,/kaggle/input/hack-chunk-14/14/4218370.avi,audio_files/4218370.mp3,0, Их рестки Груши-конференс по 129.90 и акции на стильные бокалы.
11511,3932146,/kaggle/input/hack-chunk-9/9/3932146.avi,audio_files/3932146.mp3,0, Субтитры в Метре
1969,2072597,/kaggle/input/hack-chunk-3/3/2072597.wav,/kaggle/input/hack-chunk-3/3/2072597.wav,0," КОЩЕРОСТВОРИМЫЙ НЕСКОФЕГОЛ 150 граммов, 189 рублей Скидка 57% В магазинах ОК С 14 по 27 марта Подробности НОК МАКИТРУ"
15447,4202027,/kaggle/input/hack-chunk-14/14/4202027.avi,audio_files/4202027.mp3,0," Ждём в гости на то, что вы любите. Конфеты Конти по 199-90."
2026,4253613,/kaggle/input/hack-chunk-15/15/4253613.avi,audio_files/4253613.mp3,0, Диакция! Супер! Скитка! Корм для кошек Феликс 14.99
6118,4036364,/kaggle/input/hack-chunk-11/11/4036364.avi,audio_files/4036364.mp3,0," Ах, вот а за выгодой! Гель для бритяне вее 177.99! Ленда!"
13794,3798153,/kaggle/input/hack-chunk-8/8/3798153.avi,audio_files/3798153.mp3,0, Средство для стирки Персилм 239.90
12409,4053865,/kaggle/input/hack-chunk-11/11/4053865.avi,audio_files/4053865.mp3,0," ЭТЁРОЧКЕ! Скидки для 55% Макароны ляма-лесана по 69,90 Успеете купить!"
16876,4207211,/kaggle/input/hack-chunk-14/14/4207211.avi,audio_files/4207211.mp3,0, Легендарная тема в магнито-шмак-пи! Снова на хайпискейпи-ши-ти! А еще напитки газированные 69.99.
5631,4098624,/kaggle/input/hack-chunk-12-stranger/12/4098624.avi,audio_files/4098624.mp3,0," Товар дня! Только с 25 по 27 февраля! Колбаса по супер цене за 119,90! Дикси просто рядом по-соседски!"
4891,4041396,/kaggle/input/hack-chunk-11/11/4041396.avi,audio_files/4041396.mp3,0," Недели черных скидок в перекрестке. Шоколад Милка в ассортименте по 49,90."
184,2325383,/kaggle/input/hack-chunk-6/6/2325383.wav,/kaggle/input/hack-chunk-6/6/2325383.wav,0, Чедрые выходные в метро. Скидка 20% на охлажденные филе и стейки Мурманского лосося и форелли. С 24 по 27 марта 2022 года. Количество товаров ограничено. Ограничение покупки 50 тысяч рублей в день по одной карте метра. Цена на ценнике указана с учетом скидки. Скидка не распространяется на артикоиз
12991,3891217,/kaggle/input/hack-chunk-8/8/3891217.avi,audio_files/3891217.mp3,0," Клубника 250 граммов за 149.90 в перекрестке, только один день 30 декабря."
55,4269806,/kaggle/input/hack-chunk-15/15/4269806.avi,audio_files/4269806.mp3,0, 23 февраля. Стол достойный короля. А значит время праздничных скидок в магнит. Корм для кошек Феликс. 14.99
883,3859270,/kaggle/input/hack-chunk-8/8/3859270.avi,audio_files/3859270.mp3,0, Календарь настольный всего за 55 рублей. Фикс-прейс на всё низкая цена.
14481,2250416,/kaggle/input/hack-chunk-4/4/2250416.wav,/kaggle/input/hack-chunk-4/4/2250416.wav,0," Выбираем лучше, делаем доступнее. В магазинах OK, картофель молодой, Россия, 9,99 рублей копеек за килограмм с 24 по 30 сентября. Подробности на маркетру."
11506,4169539,/kaggle/input/hack-chunk-13/13/4169539.avi,audio_files/4169539.mp3,0, Ещё столько надо купить! Зато по выгодной цене! Мороженое Магнат 49.90
15673,4084236,/kaggle/input/hack-chunk-12-stranger/12/4084236.avi,audio_files/4084236.mp3,0," Все в норме! Медро-загадьства отвечают! В метро морепродукты со скидкой 30%. Свежемороженные креветки метро шеф 860 граммов, всего за 1119 рублей 30 копеек. Карта гости каждому и 1500 бонусов в подарок."
9274,3728257,/kaggle/input/hack-chunk-7/7/3728257.avi,audio_files/3728257.mp3,0, Да ладно! Беру! Беру! И вот это возьму! И так каждый день!
10862,3855179,/kaggle/input/hack-chunk-8/8/3855179.avi,audio_files/3855179.mp3,0," Да, точно тебе говорю, вот такая цена. Да, всё проверю. Всё свежее. Нет, ценник я не перепутал. Ты чего стоишь? Брать надо. Пап, вот ещё тележка. Верём всё!"
973,4282195,/kaggle/input/hack-chunk-15/15/4282195.avi,audio_files/4282195.mp3,0," Ждем в гости на то, что вы любите. Печенье юбилейное 49,90."
13685,4046322,/kaggle/input/hack-chunk-11/11/4046322.avi,audio_files/4046322.mp3,0," Магнит заботится о вас и предлагает скидки на каждой полке. Сосиски сочные папа может. 84,90. Спишите за покупками в магазин и магнит."
5490,2133823,/kaggle/input/hack-chunk-3/3/2133823.wav,/kaggle/input/hack-chunk-3/3/2133823.wav,0," Лента представляет Какие зубные, какой! Безумные скидки В ближайшее субботу в воскресенье и понедельник в Ленте скидка 40% На торты, пирожные и кондитерские десерты Предложение не распространяется на товаре марки 365 дней Здесь будет по карте Лента"
12554,3786914,/kaggle/input/hack-chunk-7/7/3786914.avi,audio_files/3786914.mp3,0," В магнит в июле скидки до 30% на различные категории. Колбасы, сыры, напитки и многое другое. Спешите в магнит!"
12501,4192137,/kaggle/input/hack-chunk-14/14/4192137.avi,audio_files/4192137.mp3,0," В перекрестке масло сливочное, Эка Милк по 99,90."
9306,4054628,/kaggle/input/hack-chunk-11/11/4054628.avi,audio_files/4054628.mp3,0," Чудеса не загорают! Выкупайте в семье магазинов в Магни, без алкогольной пилы, бот! Выигрывайте квартиру с очень видом до горы и другие призы!"
14559,3789548,/kaggle/input/hack-chunk-7/7/3789548.avi,audio_files/3789548.mp3,0," И рисуйте, наслаждайтесь, изучайте, решайтесь и снова рисуйте. Мы заботимся о вас и предлагаем скидку 30% на средство для душа в магнит-косметик. Семья магазинов магнит. Давайте дружить с семьями."
10089,3961647,/kaggle/input/hack-chunk-9/9/3961647.avi,audio_files/3961647.mp3,0, Семечки от Мартина. Отборные. 70-99-то. Пятерочка выручает!
16841,3949934,/kaggle/input/hack-chunk-9/9/3949934.avi,audio_files/3949934.mp3,0," Сокие нектары любимые. 49,90. Пятерочка выручает!"
7567,2184325,/kaggle/input/hack-chunk-4/4/2184325.wav,/kaggle/input/hack-chunk-4/4/2184325.wav,0, В гипермаркетах Глобус есть все для воплощения ваших новогодних идей. До 31 декабря в Сыр-Мооздам производств в России всего 49990 за килограмм. Колбаса 40-чуны Малаховский всего 55990 за килограмм. Глобус Гипермаркет Новогодних идей.
12914,3954134,/kaggle/input/hack-chunk-9/9/3954134.avi,audio_files/3954134.mp3,0," И крестку 25 лет и это только начало! Томат и мое лето на бедке за 99,90 Получие 500 баллов за регистрацию в мобильном приложении"
3446,2260784,/kaggle/input/hack-chunk-5/5/2260784.wav,/kaggle/input/hack-chunk-5/5/2260784.wav,0, Лента представляет безумные скидки. Только сегодня в ленте скидка 50% На все подушки и одеяло и все махровые платенца. Предложение не распространяется на товары марки 365 дней. И отличная цена. И стойте пока.
4006,4169136,/kaggle/input/hack-chunk-13/13/4169136.avi,audio_files/4169136.mp3,0," Вдём в гости на то, что вы любите. На пятки из черного головки 5390."
8004,4243656,/kaggle/input/hack-chunk-14/14/4243656.avi,audio_files/4243656.mp3,0," Метра ваш постопщик нового года. Скидка до 30% на соленую рыбу. Например, слабосоленая форель русская моря, филе кусок 300 граммов, всего за 489 рублей. Метра."
13534,3789495,/kaggle/input/hack-chunk-7/7/3789495.avi,audio_files/3789495.mp3,0, Ас всего за 27 рублей 50 копеек. Фикс прайс на всё низкая цена.
2788,4020707,/kaggle/input/hack-chunk-10-stranger/10/4020707.avi,audio_files/4020707.mp3,0," По правому флангу в мясной, тережку на левой сырной, ускоряешься в рыбной. Успей купить до воскресенья. В метро кастрюли со скидкой 30%. Кастрюли с крышкой по ларис 4,1 литра всего за 1890 рублей. Карта гости каждому и 1500 бонусов в подарок."
16994,4148758,/kaggle/input/hack-chunk-13/13/4148758.avi,audio_files/4148758.mp3,0, В Дикси туалетная бумага ВИРа трёхслойная за 99-99 седьмого по 13 июня. Дикси просто рядом по-соседски.
11349,3860212,/kaggle/input/hack-chunk-8/8/3860212.avi,audio_files/3860212.mp3,0, Бокал для шампанского всего за 77 рублей. X-Price на всё низкая цена.
16311,3980788,/kaggle/input/hack-chunk-10-stranger/10/3980788.avi,audio_files/3980788.mp3,0," Дикси. Сыр за 199,90 и голень цыплят за 159,90 с 29 июня по 5 июля. Дикси. Просто рядом по-соседски."
16026,3815771,/kaggle/input/hack-chunk-8/8/3815771.avi,audio_files/3815771.mp3,0," Главной цены? Нет, свежесть и качество. Нет, цены, цены любимое. О, какие низкие цены! И свежесть? Какая свежесть! Седьмой пара помирили."
